Movie,Link,Image_src,Category
1920 London,https://www.zee5.com/movies/details/1920-london/0-0-7347,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-7347/portrait/1920_london_1920x770.jpg",Kahani Mein Twist
36 China Town,https://www.zee5.com/movies/details/36-china-town/0-0-2,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-2/portrait/36chinatown_1920x770.jpg",Kahani Mein Twist
8X10 Tasveer,https://www.zee5.com/movies/details/8x10-tasveer/0-0-7665,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-7665/portrait/tasveer_1306_1920x770.jpg",Kahani Mein Twist
A Frozen Christmas,https://www.zee5.com/kids/kids-movies/a-frozen-christmas/0-0-145718,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-145718/portrait/1920x770_409541038.jpg",Favourite Animated Movies | Kids
A Frozen Christmas,https://www.zee5.com/kids/kids-movies/a-frozen-christmas/0-0-145712,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-145712/portrait/1920x770_1872212464.jpg",Favourite Animated Movies | Kids
A Frozen Christmas 2,https://www.zee5.com/movies/details/a-frozen-christmas-2/0-0-111094,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-111094/portrait/afrozenchristmas2_1920x770.jpg",Favourite Animated Movies | Kids
A Frozen Christmas 2,https://www.zee5.com/movies/details/a-frozen-christmas-2/0-0-111084,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-111084/portrait/afrozenchristma_1788597357.jpg",Favourite Animated Movies | Kids
A Night to Regret,https://www.zee5.com/movies/details/a-night-to-regret/0-0-149249,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-149249/portrait/1920x770_1449032138.jpg",Hollywood In Hindi
A Night to Regret,https://www.zee5.com/movies/details/a-night-to-regret/0-0-149244,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-149244/portrait/1920x770_1828935874.jpg",Free Hollywood Movies
Aa Ab Laut Chalen,https://www.zee5.com/movies/details/aa-ab-laut-chalen/0-0-156669,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-156669/portrait/1920x770_1119459375.jpg",Cult of 90s
Aag Ka Gola,https://www.zee5.com/movies/details/aag-ka-gola/0-0-movie_216980339,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-movie_216980339/portrait/aagkagoladubbed_1658552205.jpg",South Dubbed Movies
Aag Ka Toofan,https://www.zee5.com/movies/details/aag-ka-toofan/0-0-aagkatoofan,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-aagkatoofan/portrait/aagkatoofan1920x7_34496384.jpg",South Dubbed Movies
Aah,https://www.zee5.com/movies/details/aah/0-0-156684,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-156684/portrait/1920x770_717059842.jpg",Timeless Classics
Aaj Ka Arjun,https://www.zee5.com/movies/details/aaj-ka-arjun/0-0-2372,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-2372/portrait/aajkaarjun1920x770.jpg",Bollywood Action Dhamaka
Aakhree Raasta,https://www.zee5.com/movies/details/aakhree-raasta/0-0-2469,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-2469/portrait/aakhriraasta1920_572703496.jpg",Cult Hits of 80s
Aakhri Baazi,https://www.zee5.com/movies/details/aakhri-baazi/0-0-aakhribaazi,"https://akamaividz2.zee5.com/image/upload/w_250,h_375,c_scale,f_auto,q_auto/resources/0-0-aakhribaazi/portrait/aakhribaazidubb_1602717060.jpg",South Dubbed Movies
